tweet_id	date	time	lang	country_code
1512852160089923590	2022-04-09	17:57:17	en	NULL
1512852160765214724	2022-04-09	17:57:17	en	NULL
1512852164774879234	2022-04-09	17:57:18	en	NULL
1512852186430009344	2022-04-09	17:57:23	en	NULL
1512852187470196736	2022-04-09	17:57:23	en	NULL
1512852201412120583	2022-04-09	17:57:26	und	NULL
1512852207200210944	2022-04-09	17:57:28	en	NULL
1512852214104002561	2022-04-09	17:57:29	en	NULL
1512852215815450630	2022-04-09	17:57:30	en	GB
1512852219242156039	2022-04-09	17:57:31	es	NULL
1512852231543877633	2022-04-09	17:57:34	es	NULL
1512852234685456387	2022-04-09	17:57:34	hi	NULL
1512852241111212038	2022-04-09	17:57:36	es	NULL
1512852242252107795	2022-04-09	17:57:36	en	NULL
1512852256709754881	2022-04-09	17:57:40	en	NULL
1512852271314489345	2022-04-09	17:57:43	es	NULL
1512852274997088268	2022-04-09	17:57:44	en	NULL
1512852276750266373	2022-04-09	17:57:44	en	NULL
1512852284006408196	2022-04-09	17:57:46	it	NULL
1512852326452715525	2022-04-09	17:57:56	und	NULL
1512852331968217090	2022-04-09	17:57:58	es	NULL
1512852341262757889	2022-04-09	17:58:00	es	NULL
1512852343435390983	2022-04-09	17:58:00	es	NULL
1512852343993380871	2022-04-09	17:58:00	en	NULL
1512852344010162181	2022-04-09	17:58:00	el	NULL
1512852344777723916	2022-04-09	17:58:01	en	NULL
1512852345553661956	2022-04-09	17:58:01	en	NULL
1512852356538454021	2022-04-09	17:58:03	en	NULL
1512852361097719812	2022-04-09	17:58:04	und	NULL
1512852363857612803	2022-04-09	17:58:05	en	NULL
1512852365686235140	2022-04-09	17:58:06	en	NULL
1512852371864494093	2022-04-09	17:58:07	en	NULL
1512852382312452103	2022-04-09	17:58:10	fr	NULL
1512852395583152128	2022-04-09	17:58:13	en	NULL
1512852396283736067	2022-04-09	17:58:13	pt	BR
1512852409021878284	2022-04-09	17:58:16	und	NULL
1512852410162626564	2022-04-09	17:58:16	es	NULL
1512852411039240201	2022-04-09	17:58:16	ca	NULL
1512852414692573185	2022-04-09	17:58:17	en	NULL
1512852430408634374	2022-04-09	17:58:21	en	NULL
1512852432467996687	2022-04-09	17:58:21	de	NULL
1512852435907268615	2022-04-09	17:58:22	und	NULL
1512852436125466629	2022-04-09	17:58:22	und	NULL
1512852440412004357	2022-04-09	17:58:23	en	NULL
1512852445097086986	2022-04-09	17:58:25	es	NULL
1512852450490953730	2022-04-09	17:58:26	und	NULL
1512852452919324672	2022-04-09	17:58:26	en	NULL
1512852459030552593	2022-04-09	17:58:28	en	NULL
1512852481272946706	2022-04-09	17:58:33	en	NULL
1512852484791967758	2022-04-09	17:58:34	en	NULL
1512852494333919240	2022-04-09	17:58:36	en	NULL
1512852504589094924	2022-04-09	17:58:39	en	NULL
1512852510096207877	2022-04-09	17:58:40	fr	NULL
1512852518522531846	2022-04-09	17:58:42	tr	NULL
1512852535853436935	2022-04-09	17:58:46	und	NULL
1512852536344166406	2022-04-09	17:58:46	en	NULL
1512852538416152582	2022-04-09	17:58:47	fr	NULL
1512852539770916866	2022-04-09	17:58:47	es	NULL
1512852548390211597	2022-04-09	17:58:49	en	NULL
1512852552341069825	2022-04-09	17:58:50	en	NULL
1512852552961847296	2022-04-09	17:58:50	en	NULL
1512852556661276678	2022-04-09	17:58:51	en	NULL
1512852569894359049	2022-04-09	17:58:54	und	NULL
1512852574654939147	2022-04-09	17:58:55	en	NULL
1512852586507952128	2022-04-09	17:58:58	en	NULL
1512852593197948935	2022-04-09	17:59:00	en	NULL
1512852604837060609	2022-04-09	17:59:03	es	NULL
1512852608452636677	2022-04-09	17:59:03	en	NULL
1512852611568918536	2022-04-09	17:59:04	ht	NULL
1512852621866209280	2022-04-09	17:59:07	en	NULL
1512852622448816130	2022-04-09	17:59:07	en	NULL
1512852629260541956	2022-04-09	17:59:08	es	NULL
1512852633178021891	2022-04-09	17:59:09	en	NULL
1512852643185676291	2022-04-09	17:59:12	fr	NULL
1512852647732207616	2022-04-09	17:59:13	en	NULL
1512852649456115724	2022-04-09	17:59:13	pt	NULL
1512852668984684546	2022-04-09	17:59:18	en	NULL
1512852669391675399	2022-04-09	17:59:18	en	NULL
1512852670884757508	2022-04-09	17:59:18	es	NULL
1512852674021974018	2022-04-09	17:59:19	en	NULL
1512852682112966656	2022-04-09	17:59:21	es	NULL
1512852683949969412	2022-04-09	17:59:21	und	NULL
1512852709036208130	2022-04-09	17:59:27	en	NULL
1512852711720554497	2022-04-09	17:59:28	es	NULL
1512852714253783041	2022-04-09	17:59:29	en	NULL
1512852716506206208	2022-04-09	17:59:29	en	NULL
1512852717835849736	2022-04-09	17:59:30	und	NULL
1512852732968767492	2022-04-09	17:59:33	en	NULL
1512852756893253634	2022-04-09	17:59:39	en	US
1512852760344944645	2022-04-09	17:59:40	ja	NULL
1512852780377120772	2022-04-09	17:59:44	es	NULL
1512852785636823040	2022-04-09	17:59:46	en	NULL
1512852790410100738	2022-04-09	17:59:47	th	NULL
1512852791005519873	2022-04-09	17:59:47	en	NULL
1512852800627216387	2022-04-09	17:59:49	es	NULL
1512852825197486084	2022-04-09	17:59:55	en	CA
1512852843123798016	2022-04-09	17:59:59	en	NULL
1512852844512256008	2022-04-09	18:00:00	en	NULL
1512852844549869571	2022-04-09	18:00:00	es	NULL
1512852844587667463	2022-04-09	18:00:00	es	NULL
1512852844822597634	2022-04-09	18:00:00	en	NULL
1512852844860391433	2022-04-09	18:00:00	en	NULL
1512852845141401604	2022-04-09	18:00:00	en	NULL
1512852845304836098	2022-04-09	18:00:00	es	NULL
1512852845405487108	2022-04-09	18:00:00	es	NULL
1512852845552291849	2022-04-09	18:00:00	es	NULL
1512852846475153419	2022-04-09	18:00:00	es	NULL
1512852846533910539	2022-04-09	18:00:00	en	NULL
1512852846806450181	2022-04-09	18:00:00	en	NULL
1512852846949056519	2022-04-09	18:00:00	en	NULL
1512852847095861256	2022-04-09	18:00:00	es	NULL
1512852847100051456	2022-04-09	18:00:00	ca	NULL
1512852848018657289	2022-04-09	18:00:01	es	NULL
1512852848165494785	2022-04-09	18:00:01	en	NULL
1512852848308269056	2022-04-09	18:00:01	ja	NULL
1512852848375177222	2022-04-09	18:00:01	es	NULL
1512852848710672390	2022-04-09	18:00:01	fr	NULL
1512852848958054403	2022-04-09	18:00:01	in	NULL
1512852849595719683	2022-04-09	18:00:01	en	NULL
1512852850187120645	2022-04-09	18:00:01	en	NULL
1512852850329620481	2022-04-09	18:00:01	en	NULL
1512852850954711045	2022-04-09	18:00:01	und	NULL
1512852851034361856	2022-04-09	18:00:01	en	NULL
1512852851307040781	2022-04-09	18:00:01	es	NULL
1512852851617374208	2022-04-09	18:00:01	en	NULL
1512852851869069323	2022-04-09	18:00:01	en	NULL
1512852852409991170	2022-04-09	18:00:02	tr	NULL
1512852853349564416	2022-04-09	18:00:02	es	NULL
1512852853420867584	2022-04-09	18:00:02	fr	NULL
1512852853727145984	2022-04-09	18:00:02	en	NULL
1512852854003965952	2022-04-09	18:00:02	en	NULL
1512852858454040579	2022-04-09	18:00:03	en	NULL
1512852858458329094	2022-04-09	18:00:03	en	NULL
1512852859074715651	2022-04-09	18:00:03	es	NULL
1512852859154415617	2022-04-09	18:00:03	en	NULL
1512852859397844996	2022-04-09	18:00:03	es	NULL
1512852860161208324	2022-04-09	18:00:03	es	NULL
1512852860819681281	2022-04-09	18:00:04	hu	NULL
1512852861855703048	2022-04-09	18:00:04	hu	NULL
1512852862799609857	2022-04-09	18:00:04	ja	NULL
1512852865940967431	2022-04-09	18:00:05	en	NULL
1512852868214267907	2022-04-09	18:00:05	es	NULL
1512852868893745154	2022-04-09	18:00:06	en	NULL
1512852869514502144	2022-04-09	18:00:06	en	NULL
1512852873138343939	2022-04-09	18:00:07	es	NULL
1512852873838841863	2022-04-09	18:00:07	en	NULL
1512852874266656770	2022-04-09	18:00:07	en	NULL
1512852874556018701	2022-04-09	18:00:07	pt	NULL
1512852876888006657	2022-04-09	18:00:07	en	NULL
1512852877642977287	2022-04-09	18:00:08	es	NULL
1512852879383707657	2022-04-09	18:00:08	en	NULL
1512852883028549636	2022-04-09	18:00:09	en	NULL
1512852883330547717	2022-04-09	18:00:09	es	NULL
1512852884618199041	2022-04-09	18:00:09	es	NULL
1512852887562600455	2022-04-09	18:00:10	en	NULL
1512852892121718788	2022-04-09	18:00:11	es	NULL
1512852895649071105	2022-04-09	18:00:12	en	NULL
1512852897218052097	2022-04-09	18:00:12	en	NULL
1512852898782212098	2022-04-09	18:00:13	en	NULL
1512852899059023876	2022-04-09	18:00:13	en	NULL
1512852900392972292	2022-04-09	18:00:13	es	NULL
1512852901575675912	2022-04-09	18:00:13	es	NULL
1512852903786172427	2022-04-09	18:00:14	fr	NULL
1512852904268505093	2022-04-09	18:00:14	es	NULL
1512852905367425026	2022-04-09	18:00:14	en	NULL
1512852907472965641	2022-04-09	18:00:15	en	NULL
1512852911084158988	2022-04-09	18:00:16	en	NULL
1512852913005211653	2022-04-09	18:00:16	pt	NULL
1512852914393518093	2022-04-09	18:00:16	en	NULL
1512852914414383110	2022-04-09	18:00:16	es	NULL
1512852914783629312	2022-04-09	18:00:16	en	NULL
1512852914838122511	2022-04-09	18:00:17	fr	NULL
1512852917073719298	2022-04-09	18:00:17	en	NULL
1512852917811744773	2022-04-09	18:00:17	en	NULL
1512852925823041546	2022-04-09	18:00:19	en	NULL
1512852925869182978	2022-04-09	18:00:19	en	NULL
1512852926854746118	2022-04-09	18:00:19	es	NULL
1512852929866346499	2022-04-09	18:00:20	en	NULL
1512852930231214083	2022-04-09	18:00:20	es	NULL
1512852930734428162	2022-04-09	18:00:20	es	NULL
1512852934064758793	2022-04-09	18:00:21	de	NULL
1512852941140639745	2022-04-09	18:00:23	en	NULL
1512852949571190791	2022-04-09	18:00:25	en	NULL
1512852956936347648	2022-04-09	18:00:27	en	NULL
1512852962271506434	2022-04-09	18:00:28	en	NULL
1512852965048164355	2022-04-09	18:00:28	en	US
1512852976590745603	2022-04-09	18:00:31	en	NULL
1512852978692235277	2022-04-09	18:00:32	en	NULL
1512852979459641345	2022-04-09	18:00:32	en	NULL
1512852987890257920	2022-04-09	18:00:34	en	NULL
1512852989530103812	2022-04-09	18:00:34	en	NULL
1512852995947520000	2022-04-09	18:00:36	en	NULL
1512853002754871303	2022-04-09	18:00:37	en	NULL
1512853004600360964	2022-04-09	18:00:38	en	NULL
1512853007175766019	2022-04-09	18:00:39	en	NULL
1512853008043986946	2022-04-09	18:00:39	sv	NULL
1512853008312324104	2022-04-09	18:00:39	und	NULL
1512853012817104897	2022-04-09	18:00:40	tr	NULL
1512853015245508610	2022-04-09	18:00:40	de	NULL
1512853019246874624	2022-04-09	18:00:41	nl	NULL
1512853026339536896	2022-04-09	18:00:43	en	NULL
1512853027224526852	2022-04-09	18:00:43	en	NULL
1512853028310859779	2022-04-09	18:00:44	en	NULL
1512853029388754949	2022-04-09	18:00:44	tr	NULL
1512853036548431883	2022-04-09	18:00:46	en	NULL
